Indicator,Code,Year,Pop
Poblacion Total,PNG,1992,4136644
Poblacion Total,POL,1992,38363667
Poblacion Total,PRE,1992,439447569
Poblacion Total,PRI,1992,3585176
Poblacion Total,PRK,1992,21439991
Poblacion Total,PRT,1992,9952494
Poblacion Total,PRY,1992,4277051
Poblacion Total,PSE,1992,2163591
Poblacion Total,PSS,1992,1822819
Poblacion Total,PST,1992,977958696
Poblacion Total,PYF,1992,219621
Poblacion Total,QAT,1992,471293
Poblacion Total,ROU,1992,22794284
Poblacion Total,RUS,1992,148538197
Poblacion Total,RWA,1992,7657208
Poblacion Total,SAS,1992,1192390433
Poblacion Total,SAU,1992,17281350
Poblacion Total,SDN,1992,21780059
Poblacion Total,SEN,1992,7974514
Poblacion Total,SGP,1992,3230698
Poblacion Total,SLB,1992,343916
Poblacion Total,SLE,1992,4301566
Poblacion Total,SLV,1992,5552206
Poblacion Total,SMR,1992,23808
Poblacion Total,SOM,1992,6428141
